Field,Num_count,Percent
Count,44996,100.00%
country_ids_count,41971,93.28%
disable_country_ids_count,0,0.00%
days_count,22204,49.35%
disable_place_ids_count,149,0.33%
price_count,4234,9.41%
place_ids_count,521,1.16%
poi_ids_count,5895,13.10%
self_drive_count,13598,30.22%
start_place_id_count,4448,9.89%
finish_place_id_count,3994,8.88%
disable_poi_ids_count,623,1.38%
hotel_section_count,1191,2.65%
region_ids_count,12537,27.86%
region_ids_days_count,382,0.85%
tags_count,1366,3.04%
disable_region_ids_count,3048,6.77%
areas_count,2800,6.22%
available_month_count,4,0.01%
is_in_order_count,467,1.04%
is_region_only_count,813,1.81%
